cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
68,Mainland,1185600.0,163443571.2,5.42,1010520524.61,878713499.66,790842149.7
69,Mainland,761280.0,29960985.6,5.52,185239411.16,161077748.83,144969973.95
70,Mainland,1185600.0,110246572.8,5.43,681620107.57,592713137.02,533441823.31
71,Mainland,1185600.0,115228713.6,5.43,712423127.22,619498371.49,557548534.34
72,Mainland,761280.0,52573248.0,5.46,325043963.24,282646924.56,254382232.1
73,Mainland,380640.0,5137410.1,5.81,31763001.18,27620001.03,24858000.93
74,Mainland,761280.0,57825331.2,5.45,357515952.39,310883436.86,279795093.18
75,Mainland,380640.0,7558387.2,5.66,46731146.06,40635779.18,36572201.27
76,Mainland,761280.0,31706438.4,5.51,196031000.37,170461739.45,153415565.5
77,Mainland,380640.0,0.0,inf,0.0,0.0,0.0
78,Mainland,1185600.0,89479353.6,5.45,553222881.01,481063374.79,432957037.31
79,Mainland,380640.0,11379513.6,5.56,70355976.49,61179109.99,55061198.99
80,Mainland,761280.0,35244518.4,5.49,217905843.36,189483342.05,170535007.84
81,Mainland,1185600.0,83435788.8,5.45,515857408.47,448571659.54,403714493.58
82,Mainland,761280.0,23372294.4,5.56,144503592.43,125655297.77,113089767.99
83,Mainland,1185600.0,132363504.0,5.42,818362181.64,711619288.38,640457359.54
84,Mainland,1185600.0,122126659.2,5.43,755070969.25,656583451.52,590925106.37
85,Mainland,1185600.0,104019552.0,5.44,643120383.91,559235116.44,503311604.8
86,Mainland,761280.0,31470566.4,5.51,194572677.5,169193632.61,152274269.35
87,Mainland,1185600.0,74897222.4,5.46,463066120.72,402666191.93,362399572.74
88,Mainland,761280.0,52022880.0,5.46,321641209.89,279688008.6,251719207.74
89,Mainland,761280.0,52570627.2,5.46,325027759.66,282632834.48,254369551.04
90,Mainland,380640.0,8224070.4,5.64,50846857.26,44214658.49,39793192.64
91,Mainland,1609920.0,168774278.4,5.43,1043478621.39,907372714.25,816635442.82
92,Mainland,1185600.0,154414915.2,5.42,954699166.02,830173187.84,747155869.06
93,Mainland,1609920.0,171816503.04,5.43,1062287745.64,923728474.47,831355627.02
94,Mainland,1185600.0,92802528.0,5.45,573769029.83,498929591.16,449036632.04
95,Mainland,1185600.0,159001315.2,5.42,983055443.97,854830820.84,769347738.76
96,Mainland,761280.0,54853344.0,5.45,339141084.28,294905290.68,265414761.61
97,Mainland,1185600.0,100620374.4,5.44,622104331.05,540960287.87,486864259.08
98,Mainland,1609920.0,177991632.0,5.43,1100466638.27,956927511.54,861234760.39
99,Mainland,1185600.0,96812960.55,5.44,598564281.03,520490679.16,468441611.24
100,Mainland,761280.0,45467563.64,5.47,281111737.37,244444989.02,220000490.12
101,Mainland,761280.0,33934118.4,5.5,209804049.66,182438304.05,164194473.64
102,Mainland,761280.0,30251894.4,5.52,187038009.36,162641747.27,146377572.54
103,Mainland,1185600.0,107872128.0,5.44,666939657.38,579947528.16,521952775.34
104,Mainland,761280.0,22484000.45,5.56,139011548.52,120879607.41,108791646.67
105,Mainland,761280.0,29777529.6,5.52,184105160.04,160091443.51,144082299.16
106,Mainland,1185600.0,75015158.4,5.46,463795282.15,403300245.35,362970220.81
107,Mainland,1185600.0,154995909.87,5.42,958291274.5,833296760.43,749967084.39
108,Mainland,380640.0,6046564.57,5.74,37384019.17,32507842.76,29257058.48
109,Mainland,761280.0,28427817.6,5.52,175760312.53,152835054.37,137551548.93
110,Mainland,1185600.0,89940614.4,5.45,556074712.39,483543228.17,435188905.35
111,Mainland,761280.0,69443337.6,5.44,429346455.34,373344743.77,336010269.39
112,Mainland,761280.0,23309395.2,5.56,144114706.34,125317135.94,112785422.35
113,Mainland,761280.0,26433388.8,5.54,163429382.52,142112506.54,127901255.88
114,Mainland,761280.0,26569670.4,5.53,164271969.06,142845190.49,128560671.44
115,Mainland,761280.0,22491705.6,5.56,139059187.07,120921032.23,108828929.01
116,Mainland,761280.0,71951443.2,5.43,444853288.48,386828946.5,348146051.85
117,Mainland,761280.0,48587011.2,5.46,300398306.81,261215918.96,235094327.07
118,Mainland,761280.0,57112473.6,5.45,353108576.62,307050936.19,276345842.57
119,Mainland,761280.0,68004518.4,5.44,420450685.86,365609292.05,329048362.84
120,Mainland,761280.0,50568336.0,5.46,312648218.88,271868016.42,244681214.78
121,Mainland,761280.0,30888748.8,5.51,190975481.1,166065635.74,149459072.16
122,Mainland,380640.0,4028497.72,5.94,24906942.52,21658210.89,19492389.8
123,Mainland,380640.0,13206211.2,5.54,81649876.91,70999892.96,63899903.67
124,Mainland,380640.0,9356256.0,5.6,57846807.02,50301571.32,45271414.19
125,Mainland,761280.0,45850550.58,5.47,283479625.93,246504022.55,221853620.29
126,Mainland,1185600.0,124619040.0,5.43,770480580.87,669983113.8,602984802.42
