cluster_id,region,annual_opex,annual_revenue,payback_base_years,CAPEXC,CAPEXB,CAPEXO
68,Mainland,6544928.0,41898629.76,6.9,278956666.56,242571014.4,218313912.96
69,Mainland,2011464.0,7680474.88,7.8,51135793.28,44465907.2,40019316.48
70,Mainland,4605432.0,28261621.44,6.9,188162900.64,163619913.6,147257922.24
71,Mainland,4704284.0,29538789.28,6.9,196666149.68,171014043.2,153912638.88
72,Mainland,3461120.0,13477110.4,7.8,89729182.4,78025376.0,70222838.4
73,Mainland,751932.74,1316971.0,13.5,8768254.29,7624568.95,6862112.06
74,Mainland,3565328.0,14823477.76,7.6,98693154.56,85820134.4,77238120.96
75,Mainland,799968.0,1937586.56,9.9,12900247.36,11217606.4,10095845.76
76,Mainland,2046096.0,8127920.32,7.7,54114837.92,47056380.8,42350742.72
77,Mainland,650000.0,0.0,,0.0,0.0,0.0
78,Mainland,4193384.0,22937961.28,7.1,152718531.68,132798723.2,119518850.88
79,Mainland,875784.0,2917129.28,8.3,19421939.68,16888643.2,15199778.88
80,Mainland,2116296.0,9034904.32,7.6,60153441.92,52307340.8,47076606.72
81,Mainland,4073472.0,21388698.24,7.2,142403701.44,123829305.6,111446375.04
82,Mainland,1880736.0,5991469.12,8.4,39890570.72,34687452.8,31218707.52
83,Mainland,5928260.0,33931279.2,7.0,225910885.2,196444248.0,176799823.2
84,Mainland,5725148.0,31307072.16,7.1,208439190.96,181251470.4,163126323.36
85,Mainland,4481880.0,26665329.6,7.0,177534957.6,154378224.0,138940401.6
86,Mainland,2041416.0,8067454.72,7.8,53712264.32,46706316.8,42035685.12
87,Mainland,3904056.0,19199843.52,7.3,127830537.12,111156988.8,100041289.92
88,Mainland,2449200.0,13336024.0,7.1,88789844.0,77208560.0,69487704.0
89,Mainland,3461068.0,13476438.56,7.8,89724709.36,78021486.4,70219337.76
90,Mainland,813176.0,2108233.92,9.4,14036399.52,12205564.8,10985008.32
91,Mainland,6650696.0,43265152.32,6.8,288054829.92,250482460.8,225434214.72
92,Mainland,6365788.0,39584140.96,6.9,263547043.76,229171342.4,206254208.16
93,Mainland,7712057.6,44045024.19,7.0,293247134.75,254997508.48,229497757.63
94,Mainland,4259320.0,23789854.4,7.1,158390346.4,137730736.0,123957662.4
95,Mainland,6456788.0,40759860.96,6.9,271374863.76,235978142.4,212380328.16
96,Mainland,3506360.0,14061611.2,7.7,93620727.2,81409328.0,73268395.2
97,Mainland,4414436.0,25793953.12,7.0,171733424.72,149333412.8,134400071.52
98,Mainland,7834580.0,45628013.6,7.0,303786511.6,264162184.0,237745965.6
99,Mainland,4338892.07,24817925.6,7.0,165235136.24,143682727.17,129314454.45
100,Mainland,2319134.2,11655573.85,7.2,77601583.82,67479638.1,60731674.29
101,Mainland,2090296.0,8698984.32,7.6,57916921.92,50362540.8,45326286.72
102,Mainland,2017236.0,7755049.12,7.8,51632300.72,44897652.8,40407887.52
103,Mainland,4558320.0,27652934.4,6.9,184110326.4,160095936.0,144086342.4
104,Mainland,1863111.12,5763755.67,8.6,38374478.54,33369111.78,30032200.6
105,Mainland,2007824.0,7633446.08,7.9,50822680.48,44193635.2,39774271.68
106,Mainland,3906396.0,19230076.32,7.3,128031823.92,111332020.8,100198818.72
107,Mainland,6377315.67,39733078.48,6.9,264538654.11,230033612.27,207030251.04
108,Mainland,769971.52,1550032.03,11.5,10319950.08,8973869.64,8076482.67
109,Mainland,1981044.0,7287448.48,8.0,48519064.88,42190491.2,37971442.08
