cluster_id,region,annual_opex,annual_revenue,payback_base,CAPEXC,CAPEXB,CAPEXO
69,Mainland,474240.0,1051416.59,58.9,39118881.86,34016419.01,30614777.11
70,Mainland,792480.0,3868867.23,40.7,143944618.99,125169233.9,112652310.51
71,Mainland,792480.0,4043704.79,40.2,150449604.51,130825743.05,117743168.74
72,Mainland,474240.0,1844945.48,43.5,68642824.54,59689412.64,53720471.38
73,Mainland,243360.0,180286.4,inf,6707714.54,5832795.25,5249515.72
74,Mainland,474240.0,2029256.09,42.2,75500263.24,65652402.82,59087162.53
75,Mainland,243360.0,265245.4,392.1,9868689.23,8581468.9,7723322.01
76,Mainland,474240.0,1112669.51,56.4,41397851.01,35998131.31,32398318.18
77,Mainland,243360.0,0.0,inf,0.0,0.0,0.0
78,Mainland,792480.0,3140086.17,43.3,116829676.74,101591023.25,91431920.92
79,Mainland,243360.0,399339.65,82.8,14857783.86,12919812.05,11627830.84
80,Mainland,474240.0,1236830.85,52.5,46017383.07,40015115.71,36013604.14
81,Mainland,792480.0,2928000.22,44.4,108938831.6,94729418.78,85256476.91
82,Mainland,474240.0,820200.59,76.7,30516286.6,26535901.39,23882311.25
83,Mainland,792480.0,4645013.54,39.0,172821827.18,150279849.72,135251864.75
84,Mainland,792480.0,4285773.4,39.7,159455981.08,138657374.86,124791637.37
85,Mainland,792480.0,3650343.28,41.3,135814242.56,118099341.36,106289407.22
86,Mainland,474240.0,1104392.09,56.7,41089882.2,35730332.35,32157299.12
87,Mainland,792480.0,2628357.53,46.3,97790360.9,85035096.43,76531586.79
88,Mainland,474240.0,1825631.5,43.7,67924230.66,59064548.4,53158093.56
89,Mainland,474240.0,1844853.51,43.5,68639402.66,59686437.1,53717793.39
90,Mainland,243360.0,288606.13,206.4,10737845.63,9337257.07,8403531.36
91,Mainland,1160640.0,5922771.64,40.2,220361944.89,191619082.51,172457174.26
92,Mainland,1160640.0,5418860.56,41.2,201613488.48,175316076.94,157784469.24
93,Mainland,1160640.0,6029532.0,40.1,224334058.09,195073093.99,175565784.59
94,Mainland,792480.0,3256705.86,42.8,121168615.0,105364013.04,94827611.74
95,Mainland,1160640.0,5579810.44,40.9,207601770.78,180523278.94,162470951.04
96,Mainland,474240.0,1924960.56,42.9,71619856.31,62278135.92,56050322.33
97,Mainland,792480.0,3531056.42,41.7,131376069.91,114240060.79,102816054.71
98,Mainland,1160640.0,6246234.91,39.7,232396681.37,202084070.76,181875663.68
99,Mainland,792480.0,3397443.39,42.2,126404879.22,109917286.28,98925557.65
100,Mainland,474240.0,1595586.72,46.0,59365211.62,51621923.15,46459730.83
101,Mainland,474240.0,1190845.17,53.8,44306445.27,38527343.71,34674609.34
102,Mainland,474240.0,1061625.41,58.5,39498710.05,34346704.39,30912033.95
103,Mainland,792480.0,3785541.18,40.9,140844399.7,122473391.04,110226051.94
104,Mainland,474240.0,789027.82,81.1,29356476.08,25527370.51,22974633.46
105,Mainland,474240.0,1044978.59,59.2,38879350.57,33808130.93,30427317.84
106,Mainland,792480.0,2632496.24,46.3,97944345.3,85168995.91,76652096.32
107,Mainland,1160640.0,5439249.32,41.1,202372070.39,175975713.38,158378142.04
108,Mainland,243360.0,212191.23,inf,7894761.81,6865010.27,6178509.24
109,Mainland,474240.0,997613.34,61.7,37117084.63,32275725.77,29048153.19
110,Mainland,792480.0,3156273.13,43.2,117431926.84,102114718.99,91903247.09
111,Mainland,792480.0,2436965.13,47.9,90669437.77,78842989.37,70958690.43
112,Mainland,474240.0,817993.28,77.0,30434161.59,26464488.34,23818039.5
113,Mainland,474240.0,927623.14,66.2,34513037.3,30011336.78,27010203.11
114,Mainland,474240.0,932405.65,65.8,34690974.83,30166065.07,27149458.56
115,Mainland,474240.0,789298.21,81.1,29366536.4,25536118.61,22982506.75
116,Mainland,792480.0,2524981.72,47.2,93944172.72,81690584.98,73521526.48
117,Mainland,474240.0,1705057.04,44.8,63438151.75,55163610.22,49647249.19
118,Mainland,474240.0,2004239.88,42.4,74569513.08,64843054.85,58358749.36
119,Mainland,792480.0,2386472.85,48.4,88790828.07,77209415.71,69488474.14
120,Mainland,474240.0,1774587.39,44.2,66025089.7,57413121.48,51671809.33
121,Mainland,474240.0,1083974.45,57.5,40330225.82,35069761.58,31562785.43
122,Mainland,243360.0,141371.5,inf,5259851.22,4573783.67,4116405.3
123,Mainland,243360.0,463443.68,68.1,17242831.15,14993766.22,13494389.59
124,Mainland,243360.0,328337.76,125.0,12216095.89,10622692.08,9560422.87
125,Mainland,474240.0,1609026.82,45.9,59865262.62,52056750.1,46851075.09
126,Mainland,792480.0,4373238.17,39.5,162710184.78,141487117.2,127338405.48
127,Mainland,474240.0,1532242.86,46.9,57008447.5,49572563.04,44615306.74
128,Mainland,792480.0,4413889.51,39.4,164222653.8,142802307.65,128522076.88
129,Mainland,474240.0,1385272.62,49.2,51540290.29,44817643.73,40335879.36
130,Mainland,243360.0,204820.22,inf,7620516.96,6626536.49,5963882.84
131,Mainland,1160640.0,6498972.21,39.4,241799995.52,210260865.67,189234779.1
132,Mainland,474240.0,923208.51,66.5,34348787.27,29868510.67,26881659.6
133,Mainland,474240.0,1405138.44,48.8,52279415.42,45460361.23,40914325.11
134,Mainland,1160640.0,5660101.44,40.7,210589068.18,183120928.85,164808835.96
135,Mainland,474240.0,1571657.79,46.3,58474914.87,50847752.06,45762976.85
136,Mainland,792480.0,3037722.05,43.8,113021129.19,98279242.78,88451318.5
137,Mainland,792480.0,2599833.53,46.5,96729100.4,84112261.22,75701035.09
138,Mainland,792480.0,4548071.01,39.2,169214995.1,147143474.0,132429126.6
139,Mainland,474240.0,1339562.86,50.1,49839618.11,43338798.36,39004918.52
140,Mainland,243360.0,343053.17,111.3,12763595.99,11098779.12,9988901.21
141,Mainland,474240.0,1292657.46,51.1,48094461.56,41821270.92,37639143.83
142,Mainland,243360.0,512280.48,61.6,19059847.09,16573780.08,14916402.07
143,Mainland,474240.0,1870973.38,43.3,69611215.33,60531491.59,54478342.43
144,Mainland,792480.0,2770821.16,45.3,103090846.2,89644214.09,80679792.68
145,Mainland,474240.0,1674522.55,45.1,62302089.05,54175729.61,48758156.65
146,Mainland,1160640.0,5794195.68,40.5,215578162.8,187459272.0,168713344.8
147,Mainland,792480.0,2427216.16,48.0,90306718.96,78527581.7,70674823.53
148,Mainland,243360.0,508434.23,62.1,18916744.25,16449342.83,14804408.55
149,Mainland,243360.0,18026.39,inf,670687.62,583206.62,524885.96
150,Mainland,474240.0,1222943.17,52.8,45500679.85,39565808.57,35609227.71
151,Mainland,243360.0,407292.67,80.4,15153683.02,13177115.67,11859404.1
152,Mainland,474240.0,654928.05,117.3,24367176.15,21188848.82,19069963.94
153,Mainland,474240.0,1941055.55,42.8,72218684.54,62798856.12,56518970.51
154,Mainland,474240.0,1724279.06,44.6,64153323.75,55785498.91,50206949.02
155,Mainland,792480.0,4182029.71,39.9,155596105.41,135300961.22,121770865.1
156,Mainland,474240.0,1918522.57,43.0,71380325.02,62069847.84,55862863.06
157,Mainland,1160640.0,6730097.32,39.1,250399209.28,217738442.86,195964598.57
158,Mainland,474240.0,949144.44,64.7,35313756.19,30707614.08,27636852.67
159,Mainland,474240.0,1313259.05,50.6,48860961.69,42487792.78,38239013.5
160,Mainland,243360.0,266716.94,369.4,9923439.24,8629077.6,7766169.84
161,Mainland,474240.0,581994.77,174.7,21653628.8,18829242.43,16946318.19
162,Mainland,474240.0,974344.59,63.0,36251350.11,31522913.14,28370621.82
163,Mainland,474240.0,1877595.31,43.3,69857590.37,60745730.76,54671157.68
164,Mainland,792480.0,2296616.83,49.4,85447655.61,74302309.22,66872078.3
165,Mainland,1160640.0,5047480.21,42.0,187795954.8,163300830.26,146970747.24
166,Mainland,474240.0,928082.99,66.2,34530146.68,30026214.5,27023593.05
167,Mainland,474240.0,743864.36,89.3,27676129.85,24066199.87,21659579.88
168,Mainland,243360.0,374875.26,92.2,13947564.95,12128317.34,10915485.61
169,Mainland,474240.0,562220.92,206.7,20917925.54,18189500.47,16370550.42
170,Mainland,792480.0,2665513.96,46.0,99172798.64,86237216.21,77613494.59
171,Mainland,792480.0,3652366.65,41.3,135889523.83,118164803.33,106348323.0
172,Mainland,474240.0,872164.41,70.9,32449646.31,28217083.75,25395375.38
173,Mainland,792480.0,4537774.93,39.2,168831920.23,146810365.42,132129328.87
174,Mainland,792480.0,2320345.44,49.1,86330499.51,75069999.58,67562999.62
175,Mainland,243360.0,289525.84,202.9,10772064.39,9367012.51,8430311.26
176,Mainland,474240.0,2099982.06,41.8,78131685.57,67940596.15,61146536.54
177,Mainland,474240.0,1607659.37,45.9,59814385.49,52012509.12,46811258.21
178,Mainland,243360.0,216868.47,inf,8068782.66,7016332.75,6314699.48
179,Mainland,474240.0,1070730.57,58.1,39837475.74,34641283.25,31177154.92
180,Mainland,474240.0,1178888.89,54.1,43861601.44,38140522.99,34326470.69
181,Mainland,792480.0,2434573.87,48.0,90580469.01,78765625.22,70889062.7
182,Mainland,474240.0,816521.73,77.2,30379411.58,26416879.63,23775191.67
183,Mainland,792480.0,2613090.28,46.4,97222329.55,84541156.13,76087040.52
184,Mainland,792480.0,2789123.46,45.2,103771799.45,90236347.34,81212712.61
185,Mainland,474240.0,718020.41,95.3,26714582.81,23230072.01,20907064.81
186,Mainland,1160640.0,6126764.12,39.9,227951664.97,198218839.1,178396955.19
187,Mainland,792480.0,4060995.4,40.2,151092917.12,131385145.32,118246630.79
188,Mainland,792480.0,2292570.09,49.4,85297093.08,74171385.29,66754246.76
189,Mainland,243360.0,0.0,inf,0.0,0.0,0.0
190,Mainland,792480.0,2175950.41,50.9,80958154.82,70398395.5,63358555.95
191,Mainland,474240.0,2043143.76,42.1,76016966.45,66101709.96,59491538.96
192,Mainland,243360.0,156995.11,inf,5841141.65,5079253.61,4571328.25
193,Mainland,792480.0,4063202.71,40.2,151175042.13,131456558.38,118310902.54
194,Mainland,474240.0,1312854.38,50.6,48845905.44,42474700.38,38227230.34
195,Mainland,1160640.0,5799070.16,40.4,215759522.21,187616975.83,168855278.25
196,Mainland,792480.0,2952383.31,44.2,109846026.26,95518283.7,85966455.33
197,Mainland,243360.0,366781.78,96.1,13646439.89,11866469.47,10679822.52
198,Mainland,792480.0,2724164.46,45.6,101354942.4,88134732.52,79321259.27
199,Mainland,474240.0,794080.72,80.3,29544473.93,25690846.9,23121762.21
200,Mainland,1160640.0,5406720.34,41.2,201161800.9,174923305.13,157430974.62
201,Mainland,474240.0,1184131.26,54.0,44056648.35,38310129.0,34479116.1
202,Mainland,474240.0,1621098.14,45.7,60314386.53,52447292.63,47202563.37
203,Mainland,474240.0,1422704.97,48.5,52932993.66,46028690.14,41425821.12
204,Mainland,474240.0,1218620.52,53.0,45339851.7,39425958.0,35483362.2
205,Mainland,474240.0,923116.54,66.5,34345365.4,29865535.13,26878981.62
206,Mainland,792480.0,3209892.44,43.0,119426880.32,103849461.14,93464515.03
207,Mainland,474240.0,1200962.02,53.5,44682851.58,38854653.55,34969188.2
208,Mainland,474240.0,1901241.15,43.1,70737354.59,61510743.12,55359668.81
209,Mainland,243360.0,0.0,inf,0.0,0.0,0.0
210,Mainland,474240.0,1584354.57,46.2,58947309.59,51258530.07,46132677.07
211,Mainland,792480.0,2498034.11,47.4,92941563.17,80818750.58,72736875.53
212,Mainland,474240.0,1377179.14,49.3,51239165.23,44555795.86,40100216.27
213,Mainland,474240.0,1045254.51,59.2,38889616.19,33817057.56,30435351.8
214,Mainland,474240.0,1129776.19,55.8,42034319.87,36551582.5,32896424.25
215,Mainland,474240.0,609678.15,145.6,22683613.35,19724881.18,17752393.06
216,Mainland,474240.0,935808.59,65.6,34817584.23,30276160.2,27248544.18
217,Mainland,792480.0,2702302.5,45.8,100541548.88,87427433.81,78684690.43
218,Mainland,1160640.0,6164766.11,39.9,229365562.75,199448315.44,179503483.89
219,Mainland,1160640.0,5935463.69,40.2,220834163.72,192029707.58,172826736.83
220,Mainland,792480.0,4033771.88,40.3,150080041.94,130504384.3,117453945.87
221,Mainland,474240.0,1013800.3,60.8,37719334.74,32799421.51,29519479.36
222,Mainland,792480.0,3362864.89,42.3,125118355.29,108798569.81,97918712.83
223,Mainland,474240.0,1332573.04,50.2,49579555.57,43112657.02,38801391.31
224,Mainland,474240.0,691568.64,103.0,25730421.27,22374279.37,20136851.43
225,Mainland,243360.0,0.0,inf,0.0,0.0,0.0
226,Mainland,792480.0,2921562.22,44.4,108699300.31,94521130.7,85069017.63
227,Mainland,474240.0,809807.82,78.1,30129614.66,26199664.92,23579698.43
228,Mainland,474240.0,1980327.32,42.5,73679825.42,64069413.41,57662472.07
229,Mainland,243360.0,208223.16,inf,7747126.36,6736631.62,6062968.45
230,Mainland,474240.0,1411484.46,48.7,52515524.83,45665673.77,41099106.39
231,Mainland,792480.0,2212555.01,50.4,82320061.31,71582662.01,64424395.81
232,Mainland,792480.0,2727042.8,45.6,101462033.42,88227855.14,79405069.63
233,Mainland,474240.0,1622834.65,45.7,60378994.96,52503473.88,47253126.49
234,Mainland,792480.0,2428172.66,48.0,90342306.47,78558527.36,70702674.63
