cluster_id,region,annual_opex,payback_base,CAPEXC,CAPEXB,CAPEXO
80,Mainland,1834560.0,0,853648109.6,742302704.0,668072433.6
81,Mainland,3057600.0,0,2020876057.2,1757283528.0,1581555175.2
82,Mainland,1834560.0,0,566094128.6,492255764.0,443030187.6
83,Mainland,3057600.0,0,3205941238.5,2787774990.0,2508997491.0
84,Mainland,3057600.0,0,2957997342.3,2572171602.0,2314954441.8
85,Mainland,3057600.0,0,2519429913.0,2190808620.0,1971727758.0
86,Mainland,1834560.0,0,762240221.6,662817584.0,596535825.6
87,Mainland,3057600.0,0,1814065710.6,1577448444.0,1419703599.6
88,Mainland,2446080.0,0,1260032345.0,1095680300.0,986112270.0
89,Mainland,2446080.0,0,1273299184.3,1107216682.0,996495013.8
90,Mainland,1223040.0,0,199193022.6,173211324.0,155890191.6
91,Mainland,3057600.0,0,4087836924.6,3554640804.0,3199176723.6
92,Mainland,3057600.0,0,3740042606.3,3252210962.0,2926989865.8
93,Mainland,3057600.0,0,4161521838.76,3618714642.4,3256843178.16
94,Mainland,3057600.0,0,2247745357.0,1954561180.0,1759105062.0
95,Mainland,3057600.0,0,3851128581.3,3348807462.0,3013926715.8
96,Mainland,2446080.0,0,1328588261.0,1155294140.0,1039764726.0
97,Mainland,3057600.0,0,2437099336.1,2119216814.0,1907295132.6
98,Mainland,3057600.0,0,4311087995.5,3748772170.0,3373894953.0
99,Mainland,3057600.0,0,2344880977.52,2039026936.98,1835124243.28
100,Mainland,2446080.0,0,1101257770.32,957615452.45,861853907.21
101,Mainland,1834560.0,0,821909259.6,714703704.0,643233333.6
102,Mainland,1834560.0,0,732723091.1,637150514.0,573435462.6
103,Mainland,3057600.0,0,2612742132.0,2271949680.0,2044754712.0
104,Mainland,1834560.0,0,544578996.96,473546953.88,426192258.49
105,Mainland,1834560.0,0,721233627.4,627159676.0,564443708.4
106,Mainland,3057600.0,0,1816922207.1,1579932354.0,1421939118.6
107,Mainland,3057600.0,0,3754114723.7,3264447585.83,2938002827.25
108,Mainland,1223040.0,0,146452232.78,127349767.63,114614790.87
109,Mainland,1834560.0,0,688542611.9,598732706.0,538859435.4
110,Mainland,3057600.0,0,2178427708.6,1894284964.0,1704856467.6
111,Mainland,3057600.0,0,1681968616.9,1462581406.0,1316323265.4
112,Mainland,1834560.0,0,564570663.8,490931012.0,441837910.8
113,Mainland,1834560.0,0,640236082.2,556727028.0,501054325.2
114,Mainland,1834560.0,0,643536922.6,559597324.0,503637591.6
115,Mainland,1834560.0,0,544765621.4,473709236.0,426338312.4
116,Mainland,3057600.0,0,1742716775.8,1515405892.0,1363865302.8
117,Mainland,2446080.0,0,1176813080.3,1023315722.0,920984149.8
118,Mainland,2446080.0,0,1383306038.4,1202874816.0,1082587334.4
119,Mainland,3057600.0,0,1647119359.6,1432277704.0,1289049933.6
120,Mainland,2446080.0,0,1224802221.5,1065045410.0,958540869.0
121,Mainland,1834560.0,0,748148172.2,650563628.0,585507265.2
122,Mainland,611520.0,0,97573172.31,84846236.79,76361613.11
123,Mainland,1223040.0,0,319864130.3,278142722.0,250328449.8
124,Mainland,1223040.0,0,226615389.0,197056860.0,177351174.0
125,Mainland,2446080.0,0,1110533995.14,965681734.9,869113561.41
126,Mainland,3057600.0,0,3018364635.0,2624664900.0,2362198410.0
127,Mainland,2446080.0,0,1057538482.0,919598680.0,827638812.0
128,Mainland,3057600.0,0,3046421778.4,2649062416.0,2384156174.4
129,Mainland,1834560.0,0,956101117.4,831392276.0,748253048.4
130,Mainland,1223040.0,0,141364837.9,122925946.0,110633351.4
131,Mainland,3057600.0,0,4485524715.1,3900456274.0,3510410646.6
132,Mainland,1834560.0,0,637189152.6,554077524.0,498669771.6
