cluster_id,region,waste_tonnes_week,total_cost,area_km2
0,Palma,10709.2536,24697.42990012601,1707.3528059342784
1,Sicily,22963.2,54697.79967360472,27115.85928620635
2,Mainland,9462.0,21943.339397496788,2843.8587163846933
3,Mainland,37019.0,104652.70283631628,54713.7985049865
4,Mainland,0.0,0.0,3247.3131997025935
5,Mainland,0.0,0.0,38997.13621112812
6,Mainland,19615.0,46455.02881825326,19682.364955015975
7,Mainland,13086.0,31258.079840225844,32483.998133063622
8,Mainland,2744.0,6368.4111111243055,676.4674246702311
9,Mainland,18007.0,50761.82539985982,37531.35627114618
10,Mainland,31464.624,87859.87457301716,36884.01747333954
11,Mainland,45151.0,104842.68737379527,13284.6857064687
12,Mainland,22096.0,80861.80638542792,76288.99698423738
13,Mainland,4142.0,15614.468776786696,131526.52703113868
14,Mainland,4959.0,14081.575481963799,38020.79162005771
15,Mainland,13131.0,31004.66767167779,22438.350132364903
16,Mainland,553.0,1591.9336061078802,2767.964404880264
17,Mainland,94408.0348,265613.58854158135,48266.79160254269
18,Mainland,43240.0,102237.5484835121,22487.947692123857
19,Mainland,74684.73199999999,173755.3742796193,15945.237891922776
20,Mainland,7708.0,18654.527058059004,28513.132641530632
21,Mainland,74403.0,176051.0068848234,25829.516119000866
22,Mainland,56431.7,158123.42738306406,40295.07382826092
23,Mainland,2123.0,6410.288402598,36713.124389169294
24,Mainland,9176.0,33502.81347887103,71054.14619684753
25,Mainland,3422.0,12947.307714008512,73470.37266314148
26,Mainland,28146.0,67023.00230758238,27844.50980679558
27,Mainland,2161.0,8011.945806946256,83481.58016465126
28,Mainland,65521.0,155657.70854584218,30774.35983136839
29,Mainland,26139.0,73527.26972630182,42241.615095294175
30,Mainland,5342.0,19640.144921427567,72939.14211726945
31,Mainland,11329.0,31760.535988214957,38512.96406286909
32,Mainland,43123.778399999996,102265.2142468606,27548.597135373973
33,Mainland,3713.0,10684.973827365506,37274.78806391525
34,Mainland,645.0,1705.2644669574247,9562.73461307005
35,Mainland,42524.0,120696.76820916148,60331.079039162476
36,Mainland,33427.0,126057.9444550429,149885.50751729961
37,Mainland,21176.0,78419.63734112543,110620.75049700553
38,Mainland,28420.0,66322.05194339105,10915.75793538766
39,Mainland,3920.0,9336.919341704906,23781.429573265512
40,Mainland,14066.0,39361.66502807329,39718.14679879702
41,Mainland,16785.0,39344.10653589497,18927.49825762493
42,Mainland,17601.0,49310.633014870196,37716.228409661206
43,Mainland,18390.0,43043.80861600992,17391.038475352725
44,Mainland,34170.0,95428.66688114098,37787.46283429517
45,Mainland,21871.0,61089.37306620671,37372.716135738825
46,Mainland,15874.0,37792.82089018774,28501.783254044003
47,Mainland,69267.0,163440.87768628838,22138.563078837717
48,Mainland,10943.0,26010.37271610393,21110.67941215229
