cluster_id,start_year,build_year,CAPEX,annual_profit
154,2060,2060,1121061182.3799999,197453814.09114566
87,2060,2060,1708858890.02,300982350.45450795
270,2060,2060,1708978482.6399999,300970874.1940694
211,2060,2060,1624127521.59,286007242.98081064
252,2060,2060,1606595244.0800002,282894249.4853919
251,2060,2060,1615038482.77,284370492.03798753
117,2060,2060,1108563754.01,195179918.62921992
41,2060,2060,1003681029.78,176655938.64013347
145,2060,2060,1088711379.7600002,191598314.98650268
181,2060,2060,1582868069.07,278534880.469344
111,2060,2060,1584422773.0800002,278801962.9780673
234,2060,2060,1578706246.0400002,277780225.5404302
127,2060,2060,996206491.28,175282478.18897787
9,2060,2060,1076752118.16,189438602.89920732
250,2060,2060,990525842.02,174249347.63809967
232,2060,2060,1773020328.51,311883314.7246112
119,2060,2060,1551594599.98,272918906.5794297
198,2060,2060,1771148943.2700002,311507434.96350473
155,2060,2060,2718997921.0699997,478209948.23324656
42,2060,2060,1052474817.1099999,185069864.76322678
60,2060,2060,1526121372.7800002,268300195.80308613
177,2060,2061,1045239463.84,183753147.30820435
125,2061,2061,1046128527.3100002,183908344.04497734
100,2061,2061,1037390277.55,182330358.75004497
210,2061,2061,1030087557.75,180999020.08151487
106,2061,2061,1711549723.88,300732880.5773752
135,2061,2061,1021832593.73,179542752.73995477
46,2061,2061,949206593.1899999,166764520.95371026
188,2061,2061,1490542569.52,261836862.92974553
36,2061,2061,1998811187.52,350969819.52833784
54,2061,2061,1582808272.7600002,277900540.6199024
147,2061,2061,1578084364.43,277040679.16930956
29,2061,2061,1563015694.8100002,274349058.23423237
230,2061,2061,917693938.88,161053986.80302227
1,2061,2061,1373114579.8600001,240883152.84697253
129,2061,2061,900651991.1,157997040.9354334
265,2061,2061,973065320.0799999,170694829.62488157
61,2061,2061,1358811302.99,238331103.17183122
190,2061,2061,1414720850.97,248123763.86660853
212,2061,2061,895389915.99,157029139.2508267
238,2061,2061,888716648.03,155840246.6901883
174,2061,2061,1508601054.5300002,264500946.20386186
164,2061,2061,1493173607.07,261770587.22062102
74,2061,2061,1319345739.7100003,231205106.53075117
223,2061,2061,866388706.6099999,151763618.78471887
118,2061,2061,1303081143.94,228222875.0050666
259,2061,2061,862860724.4399999,151121525.10565758
159,2061,2061,853831481.93,149535674.50096777
133,2061,2061,913567993.62,159981709.12885463
231,2061,2061,1438519781.5600002,251865737.3136049
228,2061,2061,1287534103.8600001,225419089.0742923
141,2061,2061,840437108.9399999,147075144.27211177
260,2061,2061,1413345535.8899999,247331039.89123902
272,2061,2061,1331065816.08,232804643.03902525
139,2061,2061,870933226.02,152291714.6952098
45,2061,2061,1307805052.2699997,228595235.87055725
254,2061,2061,1215479552.72,212408057.26164302
204,2061,2061,792301081.0,138371304.71431085
40,2061,2062,841094868.33,146892020.23854017
246,2062,2062,794453748.0900002,138739356.66424924
89,2062,2062,1199454142.17,209435825.7321211
15,2062,2062,785185320.35,137091788.22107276
