cluster_id,region,center_lat,center_lon,area_km2,waste_tonnes_week,waste_from_population,waste_from_objects,polygon
11,Mainland,48.946430506287136,1.9468553778442999,13284.6857064687,45151.0,40376.0,4775,"[[1.506827, 48.4205088], [1.4632507, 48.4405963], [1.2517641, 48.5681576], [1.2842202, 48.7028219], [1.3612625, 48.8951207], [1.428077, 49.0400265], [1.459939, 49.0898456], [1.6071677, 49.2372445], [1.7179896, 49.33104], [1.8381265, 49.4119824], [1.9186163, 49.4218511], [2.0779503, 49.4272944], [2.1074129, 49.4148272], [2.1417741, 49.3906153], [2.2487917, 49.30083], [2.2182326, 49.1089066], [2.2057381, 49.0413882], [2.1829898, 48.9246764], [2.1521078, 48.7884311], [2.1160821, 48.6832138], [1.9672948, 48.4294417], [1.506827, 48.4205088]]"
12,Mainland,49.3758519248609,32.241661468274614,76288.99698423738,22096.0,21266.0,830,"[[31.6699104, 48.3597575], [30.7019564, 48.8758526], [31.5596411, 50.0476426], [31.7639008, 50.2720122], [32.3937461, 50.8578812], [33.0316099, 50.0028893], [33.6377499, 49.0178759], [33.6389127, 49.0146326], [33.6381866, 49.0035903], [33.1200869, 48.6654495], [31.6699104, 48.3597575]]"
13,Mainland,62.30306659242419,25.32243901515149,131526.52703113868,4142.0,2695.0,1447,"[[25.2687375, 61.3519603], [24.3577821, 61.6796161], [24.0658024, 61.9825712], [24.0725348, 62.5534768], [24.42361, 63.2133785], [24.9580485, 63.6006924], [26.749796, 63.2320868], [26.714426, 61.4995312], [25.2687375, 61.3519603]]"
14,Mainland,59.39961896652736,10.120351883682039,38020.79162005771,4959.0,3920.0,1039,"[[9.572262, 58.973909], [9.526457, 59.214089], [9.358858, 60.240541], [9.2952626, 60.9733853], [9.986816, 60.565726], [10.2618802, 60.2003427], [10.4171579, 59.8297008], [10.5251703, 59.3804537], [10.49462, 59.313054], [10.405611, 59.225468], [10.261853, 59.095096], [10.0316206, 58.987022], [9.572262, 58.973909]]"
15,Mainland,45.061503878846274,3.5088336004807785,22438.350132364903,13131.0,11760.0,1371,"[[3.5982997, 44.3205166], [2.929003, 44.3985164], [2.8642605, 44.4866636], [2.8135394, 44.8362148], [2.8028321, 44.9231592], [2.7876116, 45.1597035], [3.1867245, 45.4589822], [3.3061854, 45.5319693], [3.7181094, 45.7121903], [3.8180391, 45.5053875], [3.8718868, 45.3927218], [4.0542394, 44.9690718], [4.090299, 44.755577], [3.9627747, 44.5628958], [3.5982997, 44.3205166]]"
16,Mainland,28.700499528571417,-13.80452473523809,2767.964404880264,553.0,0.0,553,"[[-14.3449011, 28.0488966], [-13.6258692, 29.1006572], [-13.5061416, 29.1426395], [-13.4634485, 29.1335188], [-13.47046, 29.0930144], [-13.9906247, 28.2278518], [-14.3449011, 28.0488966]]"
17,Mainland,40.41629096454219,-3.7257152355600804,48266.79160254269,94408.0348,71208.0348,23200,"[[-3.9398756, 38.9758341], [-4.8413269, 39.9546223], [-4.8429297, 39.9607895], [-4.6139606, 40.6266821], [-4.4754328, 40.9677696], [-4.2663812, 41.1207851], [-3.1819662, 41.2234561], [-2.7409689, 40.9555963], [-2.7337341, 40.4786297], [-3.9203422, 38.9819705], [-3.9231384, 38.980719], [-3.9398756, 38.9758341]]"
18,Mainland,45.15825684733885,10.110823038235274,22487.947692123857,43240.0,39200.0,4040,"[[10.0887647, 44.4741551], [9.9920386, 44.5095023], [9.7329888, 44.6314088], [9.6035514, 45.0557511], [9.6733241, 45.3643665], [9.8754072, 46.1653002], [9.8765053, 46.1658325], [10.1574725, 46.2180893], [10.5854065, 46.2593713], [10.487343, 45.3909643], [10.3841096, 44.6404393], [10.3806481, 44.6314876], [10.2414653, 44.4936547], [10.0887647, 44.4741551]]"
19,Mainland,52.34698539207517,4.962890883370467,15945.237891922776,74684.73199999999,52070.731999999996,22614,"[[5.1092968, 51.8805828], [5.0840895, 51.8908457], [4.8108158, 52.075422], [4.561868, 52.2528979], [4.5617817, 52.2530233], [4.5334724, 52.3721563], [4.7477879, 52.9373428], [4.7930277, 53.0534095], [4.8770691, 53.086184], [5.5662812, 52.8555699], [5.4406196, 52.4907965], [5.3103996, 52.1600227], [5.2281485, 51.9552167], [5.192652, 51.8872562], [5.1092968, 51.8805828]]"
20,Mainland,48.47334299565239,15.337140797101519,28513.132641530632,7708.0,5586.0,2122,"[[15.3077221, 47.7404711], [14.9301496, 47.8082594], [14.8778558, 47.8400819], [14.7928239, 48.0266337], [14.7750848, 48.4505476], [14.75792, 49.0095849], [15.0760479, 49.2995441], [15.5949837, 49.1759564], [15.6697592, 49.1457834], [16.0247775, 48.9237463], [15.8943871, 48.2992578], [15.806392, 48.0025023], [15.5619917, 47.8515176], [15.3077221, 47.7404711]]"
21,Mainland,41.888117681974734,12.613229598746026,25829.516119000866,74403.0,65660.0,8743,"[[13.2329165, 41.2876934], [12.6346801, 41.4519242], [11.7971066, 42.0915125], [11.5152072, 42.5875366], [11.5188556, 42.5885685], [12.7188216, 42.7559673], [12.7373224, 42.7367732], [13.4275585, 41.6740971], [13.4238131, 41.6127286], [13.2537723, 41.288596], [13.2329165, 41.2876934]]"
22,Mainland,53.262914739062474,-0.10762612656249995,40295.07382826092,56431.7,54992.7,1439,"[[1.4388789, 52.4805402], [-0.6360251, 52.5966053], [-0.93737, 53.2771955], [-0.423233, 54.0121698], [0.0381732, 53.7233071], [1.0963144, 52.9070705], [1.2807787, 52.7612766], [1.4388789, 52.4805402]]"
23,Mainland,45.54325786166682,25.581643364285796,36713.124389169294,2123.0,1078.0,1045,"[[25.3205287, 44.7210439], [25.318619, 44.7218367], [25.0831904, 45.0717507], [24.7753908, 45.7595379], [25.1837689, 46.4747252], [25.8039235, 46.3621414], [26.0656985, 46.3042671], [26.7041119, 45.936797], [26.4352125, 45.3851237], [26.3591262, 45.3363418], [25.875867, 45.0352341], [25.3205287, 44.7210439]]"
24,Mainland,56.39372313538463,14.403275626153851,71054.14619684753,9176.0,7350.0,1826,"[[15.1223528, 55.0674965], [14.7311468, 55.090653], [14.7227892, 55.0929934], [14.0204447, 55.4553415], [13.7207716, 56.1461695], [13.6126699, 56.4794584], [13.5289222, 56.9560673], [13.5694456, 57.3046558], [13.6752506, 57.4877897], [14.4652157, 57.7016064], [15.0570953, 57.0650882], [15.1257765, 56.5008385], [15.1223528, 55.0674965]]"
25,Mainland,4.731016126470593,-52.718777316911826,73470.37266314148,3422.0,2940.0,482,"[[-52.8749044, 2.2476643], [-54.1095838, 3.2864347], [-54.3781317, 4.2710573], [-54.4354831, 4.5330668], [-54.340275, 5.1598914], [-53.9090928, 5.7352147], [-52.9544696, 5.3822078], [-52.2934928, 4.9377793], [-52.2930286, 4.9374546], [-52.2684376, 4.9144962], [-51.6717911, 4.2089101], [-51.6690258, 4.0491661], [-52.8334632, 2.2934722], [-52.8749044, 2.2476643]]"
26,Mainland,43.5135029187231,1.4878321592907697,27844.50980679558,28146.0,24500.0,3646,"[[1.4609585, 42.3548545], [1.4229747, 42.3707213], [0.9561664, 42.8743924], [0.8470703, 43.0352137], [0.8286954, 43.3748718], [0.974641, 43.7222004], [1.4216818, 44.143019], [1.6166307, 44.1769995], [1.753177, 44.1509728], [1.9588968, 44.0622189], [2.2140968, 43.9125682], [2.2927952, 43.6649632], [1.8625229, 42.9474861], [1.4609585, 42.3548545]]"
27,Mainland,68.7636803113636,17.013147468181813,83481.58016465126,2161.0,1960.0,201,"[[16.08117, 68.040368], [15.636839, 68.968579], [15.965025, 69.272986], [17.6597625, 69.5439037], [17.9956217, 69.2302872], [18.059957, 69.132172], [17.411882, 68.24542], [16.08117, 68.040368]]"
28,Mainland,50.14079314900356,18.770456686454022,30774.35983136839,65521.0,58898.0,6623,"[[18.1123229, 49.4124619], [18.0925063, 49.6442113], [18.2332121, 50.3483835], [18.3658372, 50.7197666], [18.8646006, 50.9535574], [19.1626236, 50.9837603], [19.4359628, 50.7248287], [19.5076362, 50.4777224], [19.4700108, 50.1597321], [19.4321564, 49.9943331], [19.3390823, 49.8290897], [18.8331637, 49.5481575], [18.4326469, 49.4684076], [18.1123229, 49.4124619]]"
29,Mainland,48.62545014452696,26.49816655324678,42241.615095294175,26139.0,25088.0,1051,"[[26.7905293, 47.8906282], [26.6561086, 47.9257066], [25.9250166, 48.2596722], [25.776409, 48.3606356], [25.7333369, 48.6368653], [25.8117946, 48.8520433], [26.2352283, 49.4051161], [26.8643817, 49.8099886], [26.8717937, 49.8080136], [27.5229578, 48.7245949], [27.6465286, 48.4361358], [27.1889782, 48.0488689], [26.9775052, 47.9115707], [26.9709308, 47.9090697], [26.7905293, 47.8906282]]"
30,Mainland,60.48251805783801,5.450871373513529,72939.14211726945,5342.0,4312.0,1030,"[[5.192172, 59.771603], [5.141062, 59.791666], [4.720333, 60.778249], [4.619131, 61.28464], [4.875826, 61.767529], [4.959291, 61.841282], [5.463462, 61.589865], [6.079958, 61.223121], [7.072878, 60.463623], [6.547559, 60.056758], [5.192172, 59.771603]]"
31,Mainland,51.758378612607714,8.959038962177695,38512.96406286909,11329.0,5880.0,5449,"[[9.1924171, 50.851468], [8.3891156, 51.0572448], [8.1676296, 51.2571861], [8.04701, 51.4208988], [8.0430726, 51.5202755], [8.3460543, 52.0767897], [8.5983174, 52.3820117], [8.6747226, 52.4072036], [9.1196588, 52.5038483], [9.2161474, 52.4372495], [9.361174, 52.3086344], [9.4739455, 52.2081747], [9.5604445, 51.9912268], [9.7636166, 51.3890701], [9.5376718, 51.1306041], [9.1924171, 50.851468]]"
32,Mainland,48.2341383252196,11.492777481671471,27548.597135373973,43123.778399999996,34020.778399999996,9103,"[[11.3596561, 47.6564477], [11.3177587, 47.65804], [11.2040769, 47.6755477], [11.078673, 47.8014447], [10.6522341, 48.2874837], [10.6494537, 48.3168842], [10.7790796, 48.7191349], [10.9704334, 48.8211489], [11.184062, 48.8955661], [11.4144964, 48.8891624], [11.8557111, 48.791298], [12.0190882, 48.7041334], [12.0904858, 48.6570023], [12.1730972, 48.5640625], [12.1517614, 48.2767065], [12.1132263, 48.0579581], [12.0687263, 47.8493038], [12.0128363, 47.6737829], [11.3596561, 47.6564477]]"
33,Mainland,38.97121387686566,26.370936361194026,37274.78806391525,3713.0,2940.0,773,"[[26.5441111, 37.3137222], [26.5404362, 37.3157696], [25.5647063, 38.5427443], [25.0634528, 39.8762485], [25.06697, 39.8843977], [25.4235377, 40.0032149], [26.3171254, 39.3373499], [26.5565155, 39.1118624], [26.5767474, 39.0788711], [26.9814258, 37.7489759], [26.935503, 37.6903711], [26.5441111, 37.3137222]]"
34,Mainland,15.42805849338842,-61.312660482644596,9562.73461307005,645.0,0.0,645,"[[-60.8687952, 14.4722466], [-61.0782459, 14.4892152], [-61.1816959, 14.7104628], [-61.7675018, 16.0576402], [-61.788751, 16.2345216], [-61.7002766, 16.2600758], [-61.4859445, 16.3133069], [-61.3445413, 16.3313256], [-61.2839187, 16.3174851], [-60.8435724, 14.4817365], [-60.8687952, 14.4722466]]"
